target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2454420.82490013,30295.2411174595,0.179593399135921
HD69830,2454420.82873147,30295.8207621843,0.181434670005901
HD69830,2454421.82785393,30298.4769589557,0.170335797899945
HD69830,2454421.83160424,30298.493182484,0.17385189267728
HD69830,2454421.83548188,30297.9124674097,0.173953437047993
HD69830,2454422.80993758,30300.5058685054,0.196316252232098
HD69830,2454422.81369946,30299.8104819302,0.192283784944766
HD69830,2454422.8175771,30300.0904652604,0.192955313537791
HD69830,2454423.85597286,30301.0535674026,0.264673355052761
HD69830,2454423.85963057,30301.5370045035,0.257366867233136
HD69830,2454423.86349663,30301.9500622464,0.263206621052917
HD69830,2454424.80411773,30303.4098805984,0.185624432930173
HD69830,2454424.80958114,30303.3934456359,0.178985075858169
HD69830,2454425.79049449,30303.6503527076,0.201572157826218
HD69830,2454425.79606207,30302.7314699163,0.193524086626357
HD69830,2454426.80200014,30302.1040052168,0.151920943402315
HD69830,2454426.80756772,30302.0917543451,0.150147618870322
HD69830,2454427.79776328,30298.8067581545,0.11301119506351
HD69830,2454428.83888833,30297.7920777524,0.118992974431167
HD69830,2454429.78918384,30298.6737356021,0.147059223759127
HD69830,2454446.82235522,30295.5298923437,0.305039276311414
HD69830,2454446.82495956,30295.2135633467,0.308952887875946
HD69830,2454446.82708933,30294.6607370483,0.32360091365554
HD69830,2454446.82920753,30295.1291283742,0.306507111642528
HD69830,2454446.83125628,30295.3481523329,0.305655136823618
HD69830,2454448.82731263,30298.0724296472,0.305062175260457
HD69830,2454448.8293961,30299.3218081705,0.303720288968076
HD69830,2454448.83153744,30299.0087791559,0.31260179530723
HD69830,2454448.83359776,30297.1449431595,0.300404965138646
HD69830,2454448.83571595,30299.4769423884,0.322239571988634
HD69830,2454450.81951059,30306.0946553472,0.309731300160207
HD69830,2454450.82515909,30302.2039590996,0.30930640287877
HD69830,2454450.82806436,30300.7460502307,0.30900214646247
HD69830,2454450.83083074,30300.5829781381,0.314437056551435
HD69830,2454453.82564221,30297.6315200143,0.241493864216194
HD69830,2454453.82832756,30297.0674584968,0.240558938746291
HD69830,2454453.8310129,30296.9708768955,0.244279229689273
HD69830,2454453.83370982,30297.7559517751,0.23560483905951
HD69830,2454479.76258339,30293.6288922354,0.219786564184093
HD69830,2454479.76642608,30294.3323721666,0.205559257011822
HD69830,2454479.7702572,30295.0184130024,0.203323728394492
HD69830,2454481.79481998,30293.567534921,0.184063848247079
HD69830,2454481.79859321,30293.0080925552,0.195774626119869
HD69830,2454481.80247062,30293.4455378899,0.194523200830734
HD69830,2454483.69871467,30298.6695473452,0.182712673371917
HD69830,2454483.70247632,30297.760051643,0.176792923953322
HD69830,2454483.70628427,30298.6051797912,0.18655844461785
HD69830,2454524.66092719,30295.8888103107,0.168224218351271
HD69830,2454524.66656354,30296.5631173002,0.165212501784322
HD69830,2454551.68268092,30297.7320495785,0.392736681861043
HD69830,2454551.68444006,30297.5491286591,0.383883926161615
HD69830,2454551.6861992,30299.0940998931,0.436896620021586
HD69830,2454551.68794676,30297.7356121423,0.418106176412387
HD69830,2454551.68971747,30297.4923269051,0.431459661863942
HD69830,2454552.63648039,30299.006883528,0.128963744955303
HD69830,2454553.58681871,30302.0992997671,0.296223609965017
HD69830,2454553.58939954,30301.9969872941,0.300640221072661
HD69830,2454553.59210769,30301.6144974569,0.306672467715613
HD69830,2454553.59479268,30301.7318376039,0.316298423916039
HD69830,2454932.55966541,30296.7440446117,0.112815142992809
HD69830,2454934.52596668,30300.773909527,0.136797531975378
HD69830,2454937.5251568,30298.4047115351,0.146348054111878
HD69830,2454939.53503853,30295.554574434,0.148653075679415
HD69830,2454947.49831095,30293.0244400399,0.226600315344017
HD69830,2454947.5021185,30293.5651559688,0.229138799678528
HD69830,2454947.50603021,30292.9306731216,0.22843428981474
HD69830,2454948.48715148,30291.7734089901,0.181504589824771
HD69830,2454948.49132937,30291.3428170214,0.171808178204065
HD69830,2454948.49518322,30292.4819025413,0.176155604715374
HD69830,2454949.50013341,30291.3221317702,0.266364280868736
HD69830,2454949.5040104,30290.655338106,0.268961534785465
HD69830,2454949.50788739,30289.8980299921,0.266419737310955
HD69830,2454950.5502765,30291.9274879335,0.195078048356509
HD69830,2454950.55410719,30291.201404614,0.200201983222769
HD69830,2454950.55798418,30292.0831639338,0.199851078473201
HD69830,2454951.52511339,30297.7396075242,0.308548676988751
HD69830,2454951.52899037,30296.879044472,0.322931287335439
HD69830,2454951.53286736,30296.4106438415,0.350324959535091
HD69830,2454952.52521434,30298.4860578829,0.196415230788921
HD69830,2454952.52905661,30297.0107331259,0.196629417208183
HD69830,2454952.53296831,30296.5468985785,0.195112446972819
HD69830,2454953.53389097,30298.7153001148,0.16123644237032
